tail;head;cost
Complex1205,Protein2607;Complex1204;1
Complex1206,Protein2608;Complex1205;1
Complex1207,Protein2613;Complex1206;1
Complex1208,Protein2612;Complex1381;1
Complex1209,Protein1716;Complex1210,Protein2826;1
Complex1210,Complex1048;Protein1716;1
Complex1212,SmallMolecule361,Complex1212;Complex1213,SmallMolecule362;1
Complex1214,SmallMolecule123,Protein2594;Complex1215,SmallMolecule124;1
Complex1215;Complex1216;1
Complex1216,SmallMolecule361,Complex1116;Complex1217,SmallMolecule362;1
Complex1217,SmallMolecule361,Protein2584;Complex1218,SmallMolecule362;1
Complex1218,SmallMolecule426,Protein2836;Complex1219,SmallMolecule430;1
Complex1222;Complex1226;1
Complex1224,SmallMolecule138,Protein2844;Complex1229,SmallMolecule134;1
Complex1225;Complex1231;1
Complex1227,SmallMolecule361,Complex1116;Complex1072,SmallMolecule362;1
Complex1229,Complex1358;Complex1399;1
Complex1229,SmallMolecule123,PhysicalEntity123;Complex1230,SmallMolecule124;1
Complex1238,SmallMolecule138,Protein2844;Complex1239,SmallMolecule134;1
Complex1240,Protein2852;Complex1242;1
Complex1241;Complex1268,Protein2891;1
Complex1241,Complex1262;Complex1267;1
Complex1241,Protein2846,Protein2924;Complex1260;1
Complex1241,Protein2924;Complex1259;1
Complex1241,SmallMolecule123,Protein2846;Complex1269,SmallMolecule124;1
Complex1242,SmallMolecule123,Complex1242;Complex1243,Protein2906,SmallMolecule124;1
Complex1243,Protein2846,Protein2908;Complex1245;1
Complex1245,SmallMolecule123,Complex1245;Complex1243,Complex1247,SmallMolecule124;1
Complex1247,SmallMolecule123,Complex1247;Protein2909,Protein2910,SmallMolecule124;1
Complex1248,Protein1716,Complex1248;Complex1040,Complex1249;1
Complex1250,SmallMolecule123,Protein2909;Complex1251,Protein2913,SmallMolecule124;1
Complex1253,SmallMolecule361,Complex1253;Protein2915,Protein2922,SmallMolecule362;1
Complex1261,Complex1264;Complex1265;1
Complex1261,Complex1264;Complex1266;1
Complex1269;Complex1270,Protein2936;1
Complex1271,SmallMolecule123,Complex1244;Complex1273,Complex138,SmallMolecule124;1
Complex1273,Protein2846;Complex1275;1
Complex1275,SmallMolecule123,Complex1275;Complex1276,SmallMolecule124;1
Complex1277,SmallMolecule123,Complex1280;Complex1279,SmallMolecule124;1
Complex1282,SmallMolecule432,Protein2964;Complex1285,SmallMolecule433;1
Complex1285,SmallMolecule361,Complex1232;Complex1286,Complex1287,SmallMolecule362;1
Complex1285,SmallMolecule368,SmallMolecule369,Complex1285;Complex1282,SmallMolecule370,SmallMolecule371,SmallMolecule463;1
Complex1286,Complex1288,Complex1289;Complex1290;1
Complex1288,Protein2110;Complex1289;1
Complex1288,Protein2978,Protein2979;Complex1296;1
